ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
722-50059,833862.7,816441.553,22.286866123,114.15353399
724-722,834038.674,816345.067,22.28599503,114.155241726
752-875,834918.334,815759.379,22.280706806,114.163778139
756-752,835099.22,815634.373,22.279578054,114.16553342
760-756,835352.749,815640.774,22.279636012,114.167993464
762-50078,836298.985,815671.02,22.279909392,114.177175003
781-50098,836705.363,815357.127,22.277074681,114.1811181
786-7861,836714.038,815819.064,22.281246265,114.181202404
787-788,836606.459,815875.71,22.28175784,114.180158541
787-7882,836603.538,815878.324,22.281781446,114.180130198
787-50179,836362.957,815673.882,22.279935235,114.177795738
788-868,836682.388,815883.302,22.281826383,114.18089531
789-7908,836950.758,815938.449,22.28232431,114.183499428
793-877,837616.85,816570.66,22.288033181,114.189963323
793-7918,837006.391,815940.388,22.282341797,114.184039258
811-818,838881.248,817243.884,22.294111357,114.202233889
818-821,839406.398,817161.385,22.293365462,114.207329899
821-50107,839823.434,816928.645,22.291262864,114.21137637
868-870,836803.159,815997.652,22.282859003,114.182067234
870-4651,836884.007,816087.665,22.28367185,114.182851773
875-3402,834754.135,815848.947,22.281515527,114.162184783
877-46498,837982.489,816997.558,22.291888011,114.193511869
877-793,837434.612,816161.378,22.284337239,114.188194623
893-4652,833101.677,816778.101,22.289904135,114.146148572
896-724,834148.783,816250.647,22.285142496,114.156310311
910-931,840101.178,816617.612,22.288453446,114.21407086
930-931,839976.076,816575.425,22.288072744,114.212856794
930-9101,840052.115,816777.46,22.289897082,114.213595139
931-4650,839919.319,816768.747,22.289818685,114.212306476
3006-30069,834823.46,818955.081,22.309565904,114.162854679
3010-888301,834711.437,818893.39,22.309008699,114.161767523
3363-3369,839269.874,820683.627,22.325173681,114.206011656
3368-88810,839314.866,820127.978,22.320155764,114.206447306
3369-33691,839284.825,820586.955,22.32430065,114.206156593
3369-3370,839125.949,820671.968,22.325068639,114.204614646
3370-34211,838961.948,820481.832,22.323351864,114.203022473
3393-88817,839074.865,821794.406,22.335204991,114.204120778
3395-3393,838680.921,821720.124,22.334534781,114.200296627
3402-8979,834575.127,815899.799,22.281974586,114.160447752
3417-3681,837968.472,821192.37,22.32976971,114.193380312
3419-3417,837789.141,821018.42,22.328199008,114.191639436
3450-34502,836989.173,818891.055,22.308988159,114.183873521
3453-46312,836633.89,818130.091,22.302116303,114.180425235
3457-3664,836446.718,817636.666,22.297660401,114.178608716
3458-88819,835948.908,817311.201,22.294721232,114.1737778
3459-3615,835632.686,817301.908,22.294637224,114.170709102
3460-78201,835418.623,817893.881,22.299983014,114.168631467
3470-3006,834913.16,818626.797,22.306601372,114.16372552
3480-88818,836976.843,818412.791,22.304669149,114.183753642
3480-888302,836661.066,818660.839,22.306909276,114.180689103
3483-88825,836306.663,819564.477,22.315069718,114.177249609
3484-4640,836269.025,819339.592,22.313038872,114.176884307
3488-3489,837168.318,820663.995,22.324998781,114.185613169
3489-88816,837353.75,820779.14,22.3260385,114.187413117
3491-3010,835020.456,819072.594,22.31062727,114.164766491
3498-3499,835203.267,819239.124,22.312131259,114.166540628
3499-88822,835098.871,819181.09,22.31160711,114.165527458
3500-3499,835203.267,819239.124,22.312131259,114.166540628
3502-3500,835453.715,819296.604,22.312650474,114.168971313
3503-3502,835629.414,819329.703,22.312949452,114.170676547
3504-888231,836009.355,819775.102,22.316971769,114.174364003
3505-3504,836128.396,819945.362,22.318509332,114.175519377
3506-3483,836440.024,819826.139,22.317432674,114.178543996
3615-3460,835579.522,817480.928,22.296253865,114.170193108
3632-46322,842034.07,817933.434,22.300330744,114.232832046
3633-3632,842224.694,818075.31,22.301611322,114.234682512
3637-888151,842053.671,818696.967,22.307225846,114.233025025
3639-88814,841123.667,818587.958,22.306244304,114.22399889
3643-88813,839988.562,819731.898,22.3165776,114.212985291
3644-3690,839111.955,820458.628,22.323142076,114.204478436
3651-4632,842015.881,817960.926,22.300579075,114.232655627
3664-3458,836100.641,817358.907,22.295152068,114.175250252
3681-3395,838185.484,821426.384,22.331882763,114.19548706
3690-3643,839537.601,819872.588,22.317849031,114.208608654
3692-46332,834395.219,818269.104,22.303370703,114.158699276
3715-3457,836587.973,817767.834,22.298844909,114.179979547
4640-4643,836380.592,819078.673,22.310682612,114.177967104
4643-3480,836458.317,818948.326,22.309505493,114.178721438
4644-88801,835232.243,819528.557,22.314745031,114.166821667
4646-88806,836421.253,820544.801,22.32392262,114.178361879
4647-46478,836600.096,814778.361,22.271848075,114.180096568
4648-46488,835804.774,815605.457,22.279317256,114.172379573
4649-46497,837992.283,816985.248,22.291776834,114.193606898
