Link ID,Start Node,Start Node Eastings,Start Node Northings,Start Node Latitude,Start Node Longitude,End Node,End Node Eastings,End Node Northings,End Node Latitude,End Node Longitude,Region,Road Type
722-50059,722,834038.674,816345.067,22.28599503,114.1552417,50059,833862.7,816441.553,22.28686612,114.153534,HK,MAJOR ROUTE
724-722,724,834148.783,816250.647,22.2851425,114.1563103,722,834038.674,816345.067,22.28599503,114.1552417,HK,URBAN ROAD
752-875,752,835099.22,815634.373,22.27957805,114.1655334,875,834918.334,815759.379,22.28070681,114.1637781,HK,URBAN ROAD
756-752,756,835352.749,815640.774,22.27963601,114.1679935,752,835099.22,815634.373,22.27957805,114.1655334,HK,URBAN ROAD
760-756,760,835602.186,815600.695,22.27927419,114.1704138,756,835352.749,815640.774,22.27963601,114.1679935,HK,URBAN ROAD
762-50078,762,836029.641,815629.493,22.27953436,114.1745615,50078,836298.985,815671.02,22.27990939,114.177175,HK,MAJOR ROUTE
781-50098,781,836585.353,815155.819,22.27525677,114.1799536,50098,836705.363,815357.127,22.27707468,114.1811181,HK,MAJOR ROUTE
786-7861,786,836793.573,815852.754,22.28155049,114.1819742,7861,836714.038,815819.064,22.28124627,114.1812024,HK,URBAN ROAD
787-788,787,836656.904,815755.248,22.28066998,114.180648,788,836606.459,815875.71,22.28175784,114.1801585,HK,MAJOR ROUTE
787-7882,787,836656.904,815755.248,22.28066998,114.180648,7882,836603.538,815878.324,22.28178145,114.1801302,HK,MAJOR ROUTE
787-50179,787,836656.904,815755.248,22.28066998,114.180648,50179,836362.957,815673.882,22.27993524,114.1777957,HK,MAJOR ROUTE
788-868,788,836606.459,815875.71,22.28175784,114.1801585,868,836682.388,815883.302,22.28182638,114.1808953,HK,MAJOR ROUTE
789-7908,789,836748.301,815908.341,22.28205248,114.1815349,7908,836950.758,815938.449,22.28232431,114.1834994,HK,URBAN ROAD
793-877,793,837428.196,816174.589,22.28445655,114.1881324,877,837616.85,816570.66,22.28803318,114.1899633,HK,MAJOR ROUTE
793-7918,793,837434.612,816161.378,22.28433724,114.1881946,7918,837006.391,815940.388,22.2823418,114.1840393,HK,URBAN ROAD
811-818,811,838249.981,817134.408,22.29312356,114.1961078,818,838881.248,817243.884,22.29411136,114.2022339,HK,MAJOR ROUTE
818-821,818,838881.248,817243.884,22.29411136,114.2022339,821,839406.398,817161.385,22.29336546,114.2073299,HK,MAJOR ROUTE
821-50107,821,839406.398,817161.385,22.29336546,114.2073299,50107,839823.434,816928.645,22.29126286,114.2113764,HK,MAJOR ROUTE
868-870,868,836682.388,815883.302,22.28182638,114.1808953,870,836803.159,815997.652,22.282859,114.1820672,HK,MAJOR ROUTE
870-4651,870,836803.159,815997.652,22.282859,114.1820672,4651,836884.007,816087.665,22.28367185,114.1828518,HK,MAJOR ROUTE
875-3402,875,834918.334,815759.379,22.28070681,114.1637781,3402,834754.135,815848.947,22.28151553,114.1621848,HK,URBAN ROAD
877-46498,877,837616.85,816570.66,22.28803318,114.1899633,46498,837982.489,816997.558,22.29188801,114.1935119,HK,MAJOR ROUTE
877-793,877,837626.399,816561.52,22.28795063,114.190056,793,837434.612,816161.378,22.28433724,114.1881946,HK,MAJOR ROUTE
893-4652,893,832738.968,816762.428,22.2897619,114.1426289,4652,833101.677,816778.101,22.28990414,114.1461486,HK,MAJOR ROUTE
896-724,896,834264.546,816083.739,22.28363535,114.1574338,724,834148.783,816250.647,22.2851425,114.1563103,HK,URBAN ROAD
910-931,910,840060.004,816792.715,22.29003483,114.2136717,931,840101.178,816617.612,22.28845345,114.2140709,HK,MAJOR ROUTE
930-931,930,840495.49,816655.752,22.28879695,114.2178973,931,839976.076,816575.425,22.28807274,114.2128568,HK,MAJOR ROUTE
930-9101,930,840495.49,816655.752,22.28879695,114.2178973,9101,840052.115,816777.46,22.28989708,114.2135951,HK,MAJOR ROUTE
931-4650,931,839976.076,816575.425,22.28807274,114.2128568,4650,839919.319,816768.747,22.28981869,114.2123065,HK,MAJOR ROUTE
