ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
722-50059,834038.674,816345.067,22.28599503,114.155241726
724-722,834148.783,816250.647,22.285142496,114.156310311
752-875,835099.22,815634.373,22.279578054,114.16553342
756-752,835352.749,815640.774,22.279636012,114.167993464
760-756,835602.186,815600.695,22.279274186,114.170413823
762-50078,836029.641,815629.493,22.279534361,114.174561499
781-50098,836585.353,815155.819,22.275256767,114.179953597
786-7861,836793.573,815852.754,22.281550485,114.181974169
787-788,836656.904,815755.248,22.28066998,114.180647998
787-7882,836656.904,815755.248,22.28066998,114.180647998
787-50179,836656.904,815755.248,22.28066998,114.180647998
788-868,836606.459,815875.71,22.28175784,114.180158541
789-7908,836748.301,815908.341,22.282052484,114.181534896
793-877,837428.196,816174.589,22.284456547,114.188132375
793-7918,837434.612,816161.378,22.284337239,114.188194623
811-818,838249.981,817134.408,22.293123564,114.196107799
818-821,838881.248,817243.884,22.294111357,114.202233889
821-50107,839406.398,817161.385,22.293365462,114.207329899
868-870,836682.388,815883.302,22.281826383,114.18089531
870-4651,836803.159,815997.652,22.282859003,114.182067234
875-3402,834918.334,815759.379,22.280706806,114.163778139
877-46498,837616.85,816570.66,22.288033181,114.189963323
877-793,837626.399,816561.52,22.287950633,114.190055977
893-4652,832738.968,816762.428,22.289761895,114.142628904
896-724,834264.546,816083.739,22.283635349,114.157433837
910-931,840060.004,816792.715,22.290034827,114.213671729
930-931,840495.49,816655.752,22.288796951,114.217897297
930-9101,840495.49,816655.752,22.288796951,114.217897297
931-4650,839976.076,816575.425,22.288072744,114.212856794
3006-30069,834913.16,818626.797,22.306601372,114.16372552
3010-888301,835020.456,819072.594,22.31062727,114.164766491
3363-3369,839521.209,820694.514,22.325271539,114.208451228
3368-88810,839344.209,820099.964,22.319902728,114.206732056
3369-33691,839269.874,820683.627,22.325173681,114.206011656
3369-3370,839269.874,820683.627,22.325173681,114.206011656
3370-34211,839125.949,820671.968,22.325068639,114.204614646
3393-88817,838680.921,821720.124,22.334534781,114.200296627
3395-3393,838185.484,821426.384,22.331882763,114.19548706
3402-8979,834754.135,815848.947,22.281515527,114.162184783
3417-3681,837789.141,821018.42,22.328199008,114.191639436
3419-3417,837531.387,820885.152,22.326995729,114.189137421
3450-34502,837010.873,818912.021,22.309177485,114.184084134
3453-46312,836694.153,818344.939,22.304056498,114.181010131
3457-3664,836587.973,817767.834,22.298844909,114.179979547
